date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:26	21472/21472	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Apr%202026%2004:44:40%20GMT	https://www.coolmathgames.com/0-drift-boss/play	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/0-drift-boss/play.html	(from )
19:01:26	688/688	---MCZ	200	added ('OK')	text/plain	etag:W/%227eb-650111824e080%22	https://www.coolmathgames.com/robots.txt		(from )
19:01:26	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2025%20Apr%202026%2018:01:26%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/ASKai/Coding/DriftBoss/www.googletagmanager.com/gtm.15445.delayed	(from https://www.coolmathgames.com/0-drift-boss/play)
19:01:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Apr%202026%2018:01:26%20GMT	http://www.coolmathgames.com/sites/default/files/public_games/54231/game.css?v1752057774	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/sites/default/files/public_games/54231/game.21f5a.delayed	(from https://www.coolmathgames.com/0-drift-boss/play)
19:01:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Apr%202026%2018:01:27%20GMT	http://www.coolmathgames.com/sites/default/files/public_games/54231/game.js?v1752057774	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/sites/default/files/public_games/54231/game1f5a.js	(from https://www.coolmathgames.com/0-drift-boss/play)
19:01:27	6747/6747	---MCZ	200	added ('OK')	text/css	etag:W/%221a5b-639829b484380%22	https://www.coolmathgames.com/sites/default/files/public_games/54231/game.css?v1752057774	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/sites/default/files/public_games/54231/game1f5a.css	(from https://www.coolmathgames.com/0-drift-boss/play)
19:01:27	50424/50424	---M-Z	200	added ('OK')	application/javascript	etag:%22c4f8-6502b4d1a21f0-gzip%22	https://www.coolmathgames.com/sites/default/files/cmg-ads.js	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/sites/default/files/cmg-ads.js	(from https://www.coolmathgames.com/0-drift-boss/play)
19:01:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Apr%202026%2018:01:27%20GMT	http://www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/orientate/landscape.jpg	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/orientate/landscape.jpg	(from https://www.coolmathgames.com/0-drift-boss/play)
19:01:29	4701228/4701228	---MCZ	200	added ('OK')	text/javascript	etag:W/%2247bc2c-639829e9ec180%22	https://www.coolmathgames.com/sites/default/files/public_games/54231/game.js?v1752057774	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/sites/default/files/public_games/54231/game1f5a.js	(from https://www.coolmathgames.com/0-drift-boss/play)
19:01:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Apr%202026%2018:01:30%20GMT	http://www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/splash/mobile/cover-start.jpg	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/splash/mobile/cover-start.jpg	(from https://www.coolmathgames.com/0-drift-boss/play)
19:01:30	30668/30668	---M--	200	added ('OK')	image/jpeg	etag:%2277cc-63863388dd180%22	https://www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/orientate/landscape.jpg	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/orientate/landscape.jpg	(from https://www.coolmathgames.com/0-drift-boss/play)
19:01:31	21806/21806	---M--	200	added ('OK')	image/jpeg	etag:%22552e-63863388dd180%22	https://www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/splash/mobile/cover-start.jpg	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/splash/mobile/cover-start.jpg	(from https://www.coolmathgames.com/0-drift-boss/play)
19:01:31	39976/39976	---MCZ	200	added ('OK')	font/ttf	etag:W/%229c28-63863388dd180%22	https://www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/font/mainfont.ttf	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/font/mainfont.ttf	(from https://www.coolmathgames.com/sites/default/files/public_games/54231/game.css?v1752057774)
19:01:31	3208/3208	---M--	200	added ('OK')	image/gif	etag:%22c88-63863388dd180%22	https://www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/loading/ajax-loader.gif	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/loading/ajax-loader.gif	(from https://www.coolmathgames.com/sites/default/files/public_games/54231/game.css?v1752057774)
19:01:32	243/243	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Apr%202026%2018:01:31%20GMT	https://www.coolmathgames.com/sites/default/files/public_games/54231/sample_600x600.png	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/sites/default/files/public_games/54231/sample_600x600.png	(from https://www.coolmathgames.com/sites/default/files/public_games/54231/game.css?v1752057774)
19:01:32	776/776	---M--	200	added ('OK')	image/png	etag:%22308-63863388dd180%22	https://www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/generic-ad/light/close-button.png	C:/Users/ASKai/Coding/DriftBoss/www.coolmathgames.com/sites/default/files/public_games/54231/media/graphics/generic-ad/light/close-button.png	(from https://www.coolmathgames.com/sites/default/files/public_games/54231/game.css?v1752057774)
