date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:31:51	85/85	---MCZ	200	added ('OK')	text/plain	date:Sat,%2025%20Apr%202026%2017:31:51%20GMT	https://sites.google.com/robots.txt		(from )
18:31:51	110234/110234	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Apr%202026%2017:31:51%20GMT	https://sites.google.com/view/poly-track/	C:/Users/ASKai/Coding/Poly%20Track/sites.google.com/view/poly-track/index.html	(from )
18:31:52	110443/110443	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Apr%202026%2017:31:51%20GMT	https://sites.google.com/view/poly-track/POST	C:/Users/ASKai/Coding/Poly%20Track/sites.google.com/view/poly-track/POST.0.delayed	(from https://sites.google.com/view/poly-track/)
18:31:52	297036/297036	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Jun%202023%2004:48:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	C:/Users/ASKai/Coding/Poly%20Track/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/poly-track/)
18:31:52	14581/14581	---M--	200	added ('OK')	text/javascript	etag:%22f442d834dfe6d26b%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/Users/ASKai/Coding/Poly%20Track/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/poly-track/)
18:31:53	110315/110315	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Apr%202026%2017:31:52%20GMT	https://sites.google.com/view/poly-track/poly-track-0-5-2	C:/Users/ASKai/Coding/Poly%20Track/sites.google.com/view/poly-track/poly-track-0-5-2.html	(from https://sites.google.com/view/poly-track/)
18:31:53	110449/110449	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Apr%202026%2017:31:52%20GMT	https://sites.google.com/view/poly-track/_/ss/	C:/Users/ASKai/Coding/Poly%20Track/sites.google.com/view/poly-track/_/ss/index.html	(from https://sites.google.com/view/poly-track/)
18:31:53	110387/110387	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Apr%202026%2017:31:53%20GMT	https://sites.google.com/view/poly-track/poly-track-0-5-1	C:/Users/ASKai/Coding/Poly%20Track/sites.google.com/view/poly-track/poly-track-0-5-1.html	(from https://sites.google.com/view/poly-track/)
18:31:54	110378/110378	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Apr%202026%2017:31:53%20GMT	https://sites.google.com/view/poly-track/poly-track-0-4-1	C:/Users/ASKai/Coding/Poly%20Track/sites.google.com/view/poly-track/poly-track-0-4-1.html	(from https://sites.google.com/view/poly-track/)
18:31:54	110303/110303	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Apr%202026%2017:31:54%20GMT	https://sites.google.com/view/poly-track/stacktris	C:/Users/ASKai/Coding/Poly%20Track/sites.google.com/view/poly-track/stacktris.html	(from https://sites.google.com/view/poly-track/)
18:31:55	110391/110391	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Apr%202026%2017:31:54%20GMT	https://sites.google.com/view/poly-track/chatboard	C:/Users/ASKai/Coding/Poly%20Track/sites.google.com/view/poly-track/chatboard.html	(from https://sites.google.com/view/poly-track/)
